Year_Sampled,Species,OsHV_var,Paper,Title
2008,Magallana gigas,OsHV-1 μVar,Morrissey et al. 2016,An investigation of ostreid herpes virus microvariants found in Crassostrea gigas oyster producing bays in Ireland
2009,Chlamys farreri,OsHV-1,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China
2009,Magallana gigas,OsHV-1,Renault et al. 2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas
2009,Magallana gigas,OsHV-1 μVar,Martenot et al. 2015,"Detection of undescribed ostreid herpesvirus 1 (OsHV-1) specimens from Pacific oyster, Crassostrea gigas"
2009,Magallana gigas,OsHV-1 μVar,Pernet et al. 2012,"Mass mortalities of Pacific oysters Crassostrea gigas reflect infectious diseases and vary with farming practices in the Mediterranean Thau lagoon, France"
2009,Magallana gigas,OsHV-1 μVar,Peeler et al. 2012,Investigation of mortality in Pacific oysters associated with Ostreid herpesvirus-1 μVar in the Republic of Ireland in 2009
2009,Magallana gigas,OsHV-1 μVar,Martenot et al. 2011,"Detection of different variants of Ostreid Herpesvirus 1 in the Pacific oyster, Crassostrea gigas between 2008 and 2010"
2009,Magallana gigas,OsHV-1,Degremont 2011,Evidence of herpesvirus (OsHV-1) resistance in juvenile Crassostrea gigas selected for high resistance to the summer mortality phenomenon
2009,Magallana gigas,OsHV-1 μVar,Roque et al. 2012,First report of OsHV-1 microvar in Pacific oyster (Crassostrea gigas) cultured in Spain
2009,Magallana gigas,OsHV-1,Roque et al. 2012,First report of OsHV-1 microvar in Pacific oyster (Crassostrea gigas) cultured in Spain
2009,Magallana gigas,OsHV-1 μVar,Morrissey et al. 2016,An investigation of ostreid herpes virus microvariants found in Crassostrea gigas oyster producing bays in Ireland
2010,Chlamys farreri,OsHV-1,Bai et al. 2015,Emerging and endemic types of Ostreid herpesvirus 1 were detected in bivalves in China
2010,Octopus vulgaris,OsHV-1 μVar,Prado-Alvarez et al. 2021,First detection of OsHV-1 in the cephalopod Octopus vulgaris. Is the octopus a dead-end for OsHV-1?
